Date,DHB,Active,Recovered,Deceased,Total
2021-02-27,South Canterbury,0,17,0,17
2021-02-27,Northland,0,29,0,29
2021-02-27,Nelson Marlborough,0,49,0,49
2021-02-27,Mid Central,0,32,0,32
2021-02-27,Lakes,0,16,0,16
2021-02-27,Hutt Valley,0,24,0,24
2021-02-27,Hawke's Bay,0,44,0,44
2021-02-27,Counties Manukau,11,217,1,229
2021-02-27,Capital and Coast,0,94,2,96
2021-02-27,Canterbury,0,156,12,168
2021-02-27,Bay of Plenty,0,48,0,48
2021-02-27,Managed Isolation & Quarantine,55,585,1,641
2021-02-27,Total,66,2280,26,2372
2021-02-28,Auckland,0,225,1,226
2021-02-28,Whanganui,0,9,0,9
2021-02-28,West Coast,0,4,1,5
2021-02-28,Waitemata,0,296,4,300
2021-02-28,Wairarapa,0,8,0,8
2021-02-28,Waikato,0,193,2,195
2021-02-28,Taranaki,0,16,0,16
2021-02-28,Tairawhiti,0,4,0,4
2021-02-28,Southern,0,214,2,216
2021-02-28,South Canterbury,0,17,0,17
2021-02-28,Northland,0,29,0,29
2021-02-28,Nelson Marlborough,0,49,0,49
2021-02-28,Mid Central,0,32,0,32
2021-02-28,Lakes,0,16,0,16
2021-02-28,Hutt Valley,0,24,0,24
2021-02-28,Hawke's Bay,0,44,0,44
2021-02-28,Counties Manukau,11,219,1,231
2021-02-28,Capital and Coast,0,94,2,96
2021-02-28,Canterbury,0,156,12,168
2021-02-28,Bay of Plenty,0,48,0,48
2021-02-28,Managed Isolation & Quarantine,54,588,1,643
2021-02-28,Total,65,2285,26,2376
2021-03-01,Auckland,0,225,1,226
2021-03-01,Whanganui,0,9,0,9
2021-03-01,West Coast,0,4,1,5
2021-03-01,Waitemata,0,296,4,300
2021-03-01,Wairarapa,0,8,0,8
2021-03-01,Waikato,0,193,2,195
2021-03-01,Taranaki,0,16,0,16
2021-03-01,Tairawhiti,0,4,0,4
2021-03-01,Southern,0,214,2,216
2021-03-01,South Canterbury,0,17,0,17
2021-03-01,Northland,0,29,0,29
2021-03-01,Nelson Marlborough,0,49,0,49
2021-03-01,Mid Central,0,32,0,32
2021-03-01,Lakes,0,16,0,16
2021-03-01,Hutt Valley,0,24,0,24
2021-03-01,Hawke's Bay,0,44,0,44
2021-03-01,Counties Manukau,12,219,1,232
2021-03-01,Capital and Coast,0,94,2,96
2021-03-01,Canterbury,0,156,12,168
2021-03-01,Bay of Plenty,0,48,0,48
2021-03-01,Managed Isolation & Quarantine,55,588,1,644
